"entry_id","task_id","file_path","fill_status","notes"
"KB-20260324-0047","P2-REX-0004","knowledge-base/entries/first-batch-drafts/KB-20260324-0047.md","reviewed","20260324质量复核已完成：全项修订"
"KB-20260324-0048","P2-REX-0005","knowledge-base/entries/first-batch-drafts/KB-20260324-0048.md","reviewed","20260324质量复核已完成：title消歧义（国家奖学金附件版）；全项修订"
"KB-20260324-0049","P2-REX-0006","knowledge-base/entries/first-batch-drafts/KB-20260324-0049.md","reviewed","20260324质量复核已完成：全项修订"
"KB-20260324-0050","P2-REX-0007","knowledge-base/entries/first-batch-drafts/KB-20260324-0050.md","reviewed","20260324质量复核已完成：全项修订"
"KB-20260324-0051","P2-REX-0008","knowledge-base/entries/first-batch-drafts/KB-20260324-0051.md","reviewed","20260324质量复核已完成：全项修订"
"KB-20260324-0052","P2-REX-0009","knowledge-base/entries/first-batch-drafts/KB-20260324-0052.md","reviewed","20260324质量复核已完成：title消歧义（模板版）；全项修订"
"KB-20260324-0053","P2-REX-0010","knowledge-base/entries/first-batch-drafts/KB-20260324-0053.md","reviewed","20260324质量复核已完成：title消歧义（模板版）；全项修订"
"KB-20260324-0054","P2-REX-0011","knowledge-base/entries/first-batch-drafts/KB-20260324-0054.md","reviewed","20260324质量复核已完成：title消歧义（模板版）；全项修订"
"KB-20260324-0055","P2-REX-0012","knowledge-base/entries/first-batch-drafts/KB-20260324-0055.md","reviewed","20260324质量复核已完成：title消歧义（助学金评审附件版）；全项修订"
"KB-20260324-0056","P2-REX-0013","knowledge-base/entries/first-batch-drafts/KB-20260324-0056.md","reviewed","20260324质量复核已完成：title消歧义（困难认定通知附件版）；全项修订"
"KB-20260324-0057","P2-REX-0014","knowledge-base/entries/first-batch-drafts/KB-20260324-0057.md","reviewed","20260324质量复核已完成：title消歧义（模板版）；全项修订"
"KB-20260324-0058","P2-REX-0015","knowledge-base/entries/first-batch-drafts/KB-20260324-0058.md","reviewed","20260324质量复核已完成：title消歧义（模板版）；全项修订"
"KB-20260324-0059","P2-REX-0016","knowledge-base/entries/first-batch-drafts/KB-20260324-0059.md","reviewed","20260324质量复核已完成：全项修订"
"KB-20260324-0060","P2-REX-0017","knowledge-base/entries/first-batch-drafts/KB-20260324-0060.md","reviewed","20260324质量复核已完成：全项修订"
