"batch_id","queue_seq","source_type","material_id","source_path","file_name","extension","knowledge_category","processing_action","value_level","timeliness","title_guess","audience","kb_draft_id","rule_task_id","status"
"BATCH-A1","9","candidate-pool","","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件3：个人承诺书、社会救助家庭经济状况核对授权.pdf","附件3：个人承诺书、社会救助家庭经济状况核对授权.pdf",".pdf","奖助贷补","可转知识","B","阶段性","附件3：个人承诺书、社会救助家庭经济状况核对授权","","","","source_missing"
"BATCH-A1","R16","candidate-pool","","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）.doc","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）.doc",".doc","奖助贷补","提炼规则后入库","B","待确认","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）","","","RULE-A1-016","completed"
"BATCH-A1","10","candidate-pool","","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/贫困认定弃权声明 (2).docx","贫困认定弃权声明 (2).docx",".docx","奖助贷补","可转知识","B","阶段性","贫困认定弃权声明 (2)","","","","source_missing"
"BATCH-A1","11","candidate-pool","","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/贫困认定弃权声明 (2).docx","贫困认定弃权声明 (2).docx",".docx","奖助贷补","可转知识","B","阶段性","贫困认定弃权声明 (2)","","","","skip_merged"
"BATCH-A1","12","candidate-pool","","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.11 2025年秋季学期勤工助学通知/附件2山东第一医科大学学生勤工助学申请表.doc","附件2山东第一医科大学学生勤工助学申请表.doc",".doc","奖助贷补","可转知识","B","阶段性","附件2山东第一医科大学学生勤工助学申请表","","","","source_missing"
"BATCH-A1","R17","candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年本科生省政府奖学金评选工作的通知/省奖学金系统操作说明(1020).pdf","省奖学金系统操作说明(1020).pdf",".pdf","奖助贷补","提炼规则后入库","B","待确认","省奖学金系统操作说明(1020)","","","RULE-A1-017","completed"
"BATCH-A1","R18","candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年国家奖学金评选通知/附件3：（    学院）2024-2025学年国家奖学金汇总表和审批表/（      学院）+姓名2025高等学校国家奖学金申请审批表.doc","（      学院）+姓名2025高等学校国家奖学金申请审批表.doc",".doc","奖助贷补","提炼规则后入库","C","待确认","（      学院）+姓名2025高等学校国家奖学金申请审批表","","","RULE-A1-018","completed"
"BATCH-A1","R19","candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年国家奖学金评选通知/附件3：（    学院）2024-2025学年国家奖学金汇总表和审批表/（样表）2025版国家奖学金申请审批表.doc","（样表）2025版国家奖学金申请审批表.doc",".doc","奖助贷补","提炼规则后入库","C","待确认","（样表）2025版国家奖学金申请审批表","","","RULE-A1-019","completed"
"BATCH-A1","R20","candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/2025级助学金（全院123、25级26）/2025级公管2班助学金公示+报告.pdf","2025级公管2班助学金公示+报告.pdf",".pdf","奖助贷补","提炼规则后入库","B","待确认","2025级公管2班助学金公示+报告","","","RULE-A1-020","completed"
"BATCH-A1","R21","candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/25级困难认定/25级公管2班报告+公示结果.pdf","25级公管2班报告+公示结果.pdf",".pdf","奖助贷补","提炼规则后入库","B","待确认","25级公管2班报告+公示结果","","","RULE-A1-021","completed"
"BATCH-A1","R22","candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/25级困难认定/25级医药管理学院承诺书.pdf","25级医药管理学院承诺书.pdf",".pdf","奖助贷补","提炼规则后入库","B","待确认","25级医药管理学院承诺书","","","RULE-A1-022","completed"
"BATCH-A1","R23","candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/25级困难认定/25级医药管理学院社会救助家庭经济状况核对授权.pdf","25级医药管理学院社会救助家庭经济状况核对授权.pdf",".pdf","奖助贷补","提炼规则后入库","B","待确认","25级医药管理学院社会救助家庭经济状况核对授权","","","RULE-A1-023","completed"
"BATCH-A1","R24","candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）(1).doc","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）(1).doc",".doc","奖助贷补","提炼规则后入库","B","待确认","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）(1)","","","RULE-A1-024","completed"
"BATCH-A1","R25","candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件1：山东省高等教育资助申请表.doc","附件1：山东省高等教育资助申请表.doc",".doc","奖助贷补","提炼规则后入库","B","待确认","附件1：山东省高等教育资助申请表","","","RULE-A1-025","completed"
"BATCH-A1","R26","candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件3：个人承诺书、社会救助家庭经济状况核对授权.pdf","附件3：个人承诺书、社会救助家庭经济状况核对授权.pdf",".pdf","奖助贷补","提炼规则后入库","B","待确认","附件3：个人承诺书、社会救助家庭经济状况核对授权","","","RULE-A1-026","completed"
"BATCH-A1","R27","candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）.doc","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）.doc",".doc","奖助贷补","提炼规则后入库","B","待确认","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）","","","RULE-A1-027","completed"
"BATCH-A1","R28","candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/贫困认定弃权声明 (2).docx","贫困认定弃权声明 (2).docx",".docx","奖助贷补","提炼规则后入库","B","待确认","贫困认定弃权声明 (2)","","","RULE-A1-028","completed"
"BATCH-A1","R29","candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/贫困认定弃权声明 (2).docx","贫困认定弃权声明 (2).docx",".docx","奖助贷补","提炼规则后入库","B","待确认","贫困认定弃权声明 (2)","","","RULE-A1-029","completed"
